Source,Target,Weight
10288,36510,200
92820,74339,81
44871,71089,318
33997,30718,372
13027,79958,315
18488,6020,436
54839,96932,168
23553,7412,314
72140,32021,487
80110,49368,441
82835,87110,295
33089,96955,381
61122,23428,272
48434,62906,62
58252,93482,169
65437,71784,282
27130,36716,29
79487,75669,350
29465,90624,490
93498,21845,52
25632,37749,207
59620,75646,94
9823,60639,73
81457,43179,288
68456,94820,139
5961,92644,390
61810,43256,170
47913,23815,88
41164,84023,413
32518,2859,57
94402,11745,354
98874,40705,170
70167,84903,342
38185,91616,91
24858,43234,43
88102,17775,92
57927,87811,250
30537,34799,375
59210,7847,107
39709,41361,267
36346,44364,326
51124,88791,391
53389,83691,280
74036,78511,394
76710,66457,466
17786,71815,412
99821,34949,175
46378,84261,221
64084,35440,388
50876,84393,74
27467,60090,350
55648,45447,390
97007,72550,413
21724,23524,260
31043,3367,84
32379,39879,279
99230,57916,124
94058,40296,500
46644,85073,143
7329,61628,30
88857,22431,304
40720,13353,479
15526,7507,321
72213,22278,446
95711,22532,28
47940,2678,336
86381,78699,321
42744,61397,367
70893,27462,110
24688,93131,84
30035,99562,485
99589,18704,163
52722,35428,353
98503,28042,105
99962,77983,305
40431,21273,128
65255,80771,16
77902,95729,44
76263,66534,2
34818,95478,409
9188,11524,247
68396,98188,453
86274,88986,61
94684,52371,229
77974,33899,18
48568,21906,286
55875,16348,452
45040,48780,170
4148,11477,134
14246,51349,273
87663,64839,30
71166,38511,311
89112,53083,296
84213,84346,82
31272,79994,340
11193,88070,442
17202,64624,332
4160,82417,194
30380,10633,372
73726,72347,129
90112,27452,134
5831,88422,489
90716,55401,230
2644,54044,488
98785,46844,301
97506,59965,64
9958,44702,397
78926,87815,47
36145,38687,469
21546,46980,463
98661,99050,51
20129,38088,111
92662,61511,436
36876,6825,309
25644,59484,135
10059,23461,356
2720,81281,69
38450,83348,202
65930,667,372
64042,33444,49
40216,60233,40
78264,33272,381
70447,29078,68
9149,48171,148
4246,43655,142
12208,15626,497
37269,3058,342
31234,56205,24
44062,47175,460
48666,87996,134
42435,41143,443
19252,50445,149
92397,67841,380
18060,33579,344
20563,28191,245
34376,57635,484
97556,88749,132
98562,29051,468
3868,94980,482
20331,88132,253
52399,39977,58
78763,43212,147
29235,46285,442
26403,99399,113
13430,36434,354
9367,53805,273
65075,89629,279
87048,48810,388
97242,11108,147
40872,48822,471
23556,35520,217
22534,34780,448
21748,15927,162
27420,29692,416
93215,41434,383
75513,7708,381
20799,27198,405
31869,53573,129
33560,37942,392
42508,9191,322
36269,78598,115
89198,6659,116
62493,29169,324
62519,27159,344
89567,38097,274
37946,57253,61
40996,19049,222
68123,8847,298
36309,92117,449
16323,35569,497
27786,68333,355
92741,2204,452
12205,9629,115
5899,13813,371
60157,2666,254
60388,41022,409
88240,29667,330
73962,54372,468
76708,20695,419
18640,7821,493
34416,71024,56
47061,11109,118
669,51398,66
23648,17855,196
95477,68088,373
59088,22446,254
99469,98224,24
43694,90958,497
55838,9662,291
440,71160,132
82877,40131,97
88723,34431,7
21197,46536,78
47768,32083,128
82023,9171,422
61218,73158,222
86946,88712,348
59565,87010,403
91481,69250,206
59883,80813,354
89938,31728,232
27328,74602,27
67130,56470,60
42325,63196,304
35416,41303,440
79976,92555,464
86576,96670,219
62272,4987,386
60817,79830,394
77281,3864,412
98506,13512,146
88958,34523,87
55117,29728,464
81206,7499,218
75458,5194,228
72980,46139,175
47464,3627,435
23598,32217,55
75395,53970,32
32505,33326,377
64608,24513,102
70046,83373,301
72080,21973,62
88915,36898,199
30377,81418,32
72883,45688,106
59470,29625,273
12946,25861,202
18756,18369,324
25666,17677,178
6208,5128,473
48402,54281,272
1429,54073,337
45142,6546,346
1401,60505,301
94842,8527,331
31419,84275,165
7517,43930,433
35799,96388,154
13715,33672,432
23555,65189,12
26456,5656,475
80371,79211,264
72622,73470,229
89661,13330,186
21637,77717,316
42558,41191,50
85694,59578,43
16344,13257,387
94995,12426,295
37517,93086,77
94550,88295,337
89456,73156,47
90505,21649,273
29918,82087,278
47335,58236,426
1804,28007,485
77595,97565,394
36091,5984,25
71298,49248,357
31150,3898,460
15987,68978,159
44004,28757,310
82894,33583,164
17900,10508,477
4096,60631,121
12850,76244,106
22925,60769,303
4676,10669,69
67654,44878,386
74335,39898,271
66968,98226,331
52083,45839,135
93194,91310,54
86761,84348,209
10109,37252,252
92461,93441,235
4480,36432,94
72861,75995,73
42777,81993,371
40272,77552,222
79482,37933,305
99577,76943,149
83551,69894,224
79291,12452,378
93751,78320,451
33490,70422,150
13517,66137,128
49348,24635,497
26958,88591,88
33629,9794,34
46926,60836,99
56623,16718,57
1854,46589,481
86290,59781,465
90617,35466,262
18338,13573,151
85916,18946,38
68883,14754,267
37740,76414,145
23388,79009,358
22527,47380,400
89330,85081,357
16781,71620,495
70605,13709,304
98227,25734,261
66841,88567,469
86470,40120,87
27945,94632,287
8193,34886,199
52204,98272,104
72867,97716,135
6430,92667,146
95840,5229,255
46001,69793,246
31090,30485,447
48428,60731,134
72739,28310,176
99960,1854,421
97855,37573,181
97692,70307,465
33062,3097,307
17758,88637,251
90099,76443,359
19697,47480,75
56030,90586,181
57460,92213,236
19248,59911,423
27714,94786,59
91427,86337,459
25670,34655,440
22898,55283,56
29617,41578,34
11013,14678,142
13278,67904,337
40556,91948,249
93629,6717,482
65137,37261,45
81135,11352,28
31333,80391,475
4284,88229,26
87878,66053,380
8053,94322,244
15927,43078,427
66924,8391,182
30017,29334,447
2850,40080,270
69547,60994,126
73264,20102,205
60201,69904,383
36157,25562,124
68187,8523,466
53568,52314,228
97600,95560,261
96203,89516,318
61996,73075,146
68576,35446,254
59663,12852,302
27768,53313,388
39247,72178,238
41050,71132,430
2324,4320,430
72792,42408,225
5308,5227,369
41455,49990,441
75154,38369,297
4878,14729,162
15891,74132,392
368,65339,29
67134,83663,331
95702,27547,254
7799,17211,224
23794,34386,204
4938,91607,316
11303,37518,205
30736,14317,123
95624,5871,66
76152,15701,398
80760,9785,144
15397,55384,344
28339,97121,453
14469,8168,244
91660,24711,135
85531,33912,194
6043,10781,218
14839,73127,200
64400,29419,94
51030,33112,276
87145,55106,57
19213,69049,160
4042,39077,116
17234,63063,191
82900,63985,475
4361,20043,497
64501,4311,294
35589,47346,311
65825,19023,125
57348,96418,484
27887,42961,473
39068,75401,75
99984,36961,261
32535,75799,230
16476,59261,367
73559,12450,33
30201,63340,336
8393,32553,44
96875,54512,190
65995,6675,220
23965,36720,431
33538,79766,121
66303,8086,443
96828,66756,470
27519,8936,71
57971,73803,60
82353,4609,9
20828,1464,97
32283,98311,116
3880,17699,298
18521,85686,451
96140,92148,128
98327,40249,6
78580,72372,104
39380,6524,469
85845,54977,330
27742,24828,38
38975,48332,169
26600,42858,168
9193,43797,300
86996,57858,40
24566,6499,92
47755,84915,385
39172,60119,256
33290,35246,203
55767,20849,385
58411,31129,351
61730,66952,207
41754,55887,151
27904,94248,467
16047,55316,179
91589,73701,216
1334,1797,267
12027,92452,274
50754,44133,337
78189,44048,372
2691,18614,126
39152,72070,370
86648,62115,202
61786,19287,411
46827,40085,44
3215,73031,117
34290,17193,302
38762,19093,487
84279,99863,91
88384,7281,41
47044,58947,234
50003,4478,259
23075,31642,152
41490,54194,342
64414,79387,461
42373,67999,194
80179,75931,179
83460,89457,344
11792,67308,215
7623,2026,143
96107,36571,18
99771,90475,312
1968,54667,242
86739,72855,446
30275,44791,321
85737,58846,129
52862,21909,425
46296,64910,485
69025,9610,460
38654,22380,490
25518,98593,233
8627,25770,257
56745,76073,356
45175,45123,375
30414,92586,91
17073,6433,332
74583,58241,480
92679,51264,470
29510,23585,89
63533,12487,405
28757,55128,81
92462,85021,280
29541,67829,316
22378,30488,462
71535,6566,227
80701,81223,268
50148,10152,302
90741,95548,397
20971,70647,118
57098,26201,336
98058,28440,274
41569,69485,406
13533,11366,486
75007,90318,354
20886,25039,360
33447,74749,286
84160,97184,78
51266,26617,167
72260,13552,220
41889,83644,426
42409,74396,266
56360,5913,157
80367,99718,14
18506,50814,2
35837,53596,187
74531,68208,482
73502,79954,228
76029,93665,248
18283,64010,348
43117,53530,405
6850,31544,313
69552,51092,445
92668,15416,351
33144,48162,4
15683,75151,154
13492,75452,300
99373,40700,81
50461,63991,51
23907,94092,71
24563,37529,290
16103,75248,313
65157,92005,457
11299,25587,27
51758,80845,146
25198,41579,11
38782,23624,65
46347,65153,29
75097,65125,26
51901,72614,17
99942,57380,316
52429,26848,115
1916,74233,311
37498,57334,64
42165,61079,171
68337,21968,6
25551,89814,66
25004,66826,8
74898,41015,439
72404,55158,228
314,58020,20
45875,61289,30
80861,48352,282
67762,55596,370
44848,89642,248
97336,62803,106
26588,18829,81
78251,79533,410
49135,90293,75
69483,87353,282
44397,4591,403
43306,43204,197
75582,45472,25
48276,53954,151
85871,35203,70
18697,96440,209
18858,91862,344
50344,9509,82
22133,36069,351
67833,47581,17
21669,88668,46
55108,23717,364
31152,64586,45
77798,43586,11
42405,11122,304
42208,67573,298
68384,96628,407
75328,81723,116
19582,59008,491
83170,28720,391
73599,45606,319
93564,39603,212
87428,53110,422
92507,54460,256
59794,93054,481
70178,35000,312
56936,78036,437
6358,22757,387
89589,45002,360
10568,37355,392
27957,70545,481
77012,29721,252
17226,35035,411
97668,24618,274
78927,42367,358
44189,8203,253
19558,98685,139
63463,28995,85
12368,22420,323
96601,70896,242
46208,7536,310
55917,47456,40
13416,13548,316
45572,41721,125
90559,71161,169
36378,29554,395
67128,70131,338
46470,71796,336
14118,50489,459
87175,41092,412
91569,27591,367
97738,3435,428
26151,19623,474
49987,89669,375
82519,20386,324
66095,65759,177
33769,31201,253
73693,96120,351
62933,74750,329
82466,76041,204
20096,6853,36
81798,31364,377
20835,14394,317
76948,86198,109
29200,56390,105
32444,28796,3
82788,90722,324
36527,81094,231
68485,85793,321
49066,81714,259
76222,46131,422
17771,15721,127
97018,90518,120
68915,75077,319
46685,62499,490
66407,79165,245
18604,87164,16
43158,55723,380
72080,99784,311
67994,63599,130
87075,37845,238
28723,76101,174
73991,1912,58
96817,42229,134
20932,39464,250
92276,58951,390
13006,81686,305
31003,22285,190
34718,65749,152
14064,21705,116
33873,50997,152
73799,27869,465
29207,39402,418
69394,52373,480
77718,82845,235
8759,2702,456
42554,65660,472
11199,34964,245
87768,86675,28
1973,1871,141
67368,19962,384
6972,83199,346
60622,4766,203
98956,13259,126
89696,62755,14
85238,68424,456
28577,59949,352
57241,13679,407
67028,67454,279
33252,72299,333
84651,40188,425
4167,74115,481
30258,46834,491
51312,51100,82
41849,19517,453
31970,21195,22
71124,9940,69
88380,63446,420
36903,29084,45
13547,23650,174
67468,26469,193
14247,98469,389
475,54500,362
95314,12603,140
74039,95078,149
19319,17625,163
61768,67334,204
18409,19101,154
35685,28586,183
377,9968,130
21288,25760,254
74940,66977,359
46571,65107,298
63947,62023,386
18686,83682,62
88806,30386,322
25710,93793,272
15844,36453,316
61999,71636,236
96199,9097,281
61684,54701,265
66642,1355,251
73635,94812,467
59481,60683,268
20752,91036,243
43210,75780,176
59589,74756,128
362,42761,388
44529,25526,371
55877,44333,58
81244,45089,44
20203,75483,9
30384,11198,263
8398,69706,67
78508,14967,62
21358,8544,39
64093,26371,201
67073,84013,351
87222,21088,50
97558,37118,158
20269,69116,479
93525,69771,20
58031,94708,97
37328,59258,184
98762,88826,366
94755,74309,116
264,12075,61
40871,64955,343
55935,22015,438
44263,60408,75
8611,13126,96
4156,15752,413
49703,20628,395
68075,86122,485
30422,31572,121
88412,2180,380
38905,13376,295
84684,82873,100
37735,17753,231
21076,57259,268
80665,54460,163
86749,72073,243
45162,38385,279
26695,68979,159
83526,5003,156
84176,33490,451
33858,92826,225
89736,90153,455
48356,6510,103
