Source,Target,Weight
623,837,17
237,994,488
987,631,375
993,804,224
762,249,67
233,424,36
527,606,251
170,939,469
345,687,459
934,136,216
996,944,144
93,568,18
907,39,207
636,867,284
610,773,27
942,465,74
432,908,260
730,771,222
656,902,227
308,61,199
425,811,111
32,736,289
997,354,128
79,390,374
91,769,471
701,525,378
147,638,17
161,978,462
609,288,61
67,609,36
843,67,140
318,624,383
871,430,8
676,416,258
355,193,150
474,232,365
468,682,236
391,935,485
436,627,268
238,675,29
175,428,6
453,943,232
463,207,253
686,729,412
939,569,474
866,345,465
847,884,214
994,465,482
822,32,161
617,977,205
18,176,176
71,771,99
3,459,487
943,262,387
560,899,113
921,489,330
544,837,77
835,942,481
438,204,485
872,595,190
403,173,85
889,79,61
364,791,30
28,50,391
30,812,302
201,80,109
802,713,311
118,859,169
753,201,54
544,406,322
457,209,494
437,477,421
527,71,179
537,443,51
901,987,284
234,589,217
897,823,469
800,906,361
272,499,173
408,174,261
288,888,187
860,950,58
609,396,9
611,119,436
231,311,182
143,474,375
35,332,434
300,484,463
909,357,243
125,545,127
514,52,414
663,318,79
984,292,98
886,357,263
264,113,32
594,997,163
382,525,175
385,326,284
581,137,347
490,315,1
998,170,209
422,73,360
396,931,323
755,636,291
347,930,373
183,961,5
698,871,97
435,49,128
834,615,400
763,98,344
561,102,351
244,852,457
785,720,306
103,728,474
906,143,299
709,117,46
256,155,91
851,935,301
753,710,100
932,930,30
676,667,98
694,220,442
265,946,50
975,118,175
532,398,426
449,81,400
567,467,44
657,68,237
346,847,332
150,431,467
41,352,395
384,102,353
7,198,289
605,600,270
824,427,197
855,361,32
601,922,325
758,681,204
142,95,292
521,960,467
69,111,133
973,494,441
983,937,267
194,663,374
729,631,220
871,113,182
57,999,102
944,890,304
774,927,483
57,550,320
484,764,225
904,66,350
179,578,275
61,211,224
789,981,78
936,281,436
572,437,327
1,100,448
845,643,9
69,539,178
409,487,215
959,821,321
399,38,423
474,125,81
122,860,479
571,352,69
471,642,332
371,947,338
184,166,453
860,14,51
614,361,270
133,337,124
886,224,463
826,571,398
331,300,257
962,308,138
246,727,10
776,873,387
116,959,232
437,713,83
112,486,128
527,109,360
651,785,183
63,99,19
693,62,153
679,568,2
340,533,60
334,995,155
266,727,464
987,406,178
547,32,380
73,9,225
503,998,452
360,682,288
459,463,258
609,800,22
710,220,478
25,130,424
994,644,399
221,661,177
817,800,211
402,622,199
352,805,34
83,688,261
116,194,499
183,692,395
407,281,260
392,468,39
16,604,457
104,398,411
509,440,432
612,546,150
369,366,474
676,740,10
548,134,300
972,707,440
647,661,405
487,270,246
116,916,290
468,906,41
545,176,94
689,17,449
767,444,490
720,824,303
824,624,323
838,595,355
963,503,222
974,921,25
751,954,392
923,81,304
780,932,461
59,477,418
319,324,218
627,709,66
784,279,134
528,874,75
512,429,363
765,994,166
659,798,29
165,155,141
1,99,168
21,720,283
598,537,9
184,55,306
929,6,124
446,705,89
880,903,483
693,678,303
83,656,14
904,534,92
688,685,175
313,653,143
843,591,446
171,428,213
539,913,292
61,205,417
736,312,221
947,715,314
74,649,340
503,545,5
906,29,491
833,931,397
735,750,285
69,18,77
412,981,57
454,948,163
331,727,8
138,129,57
272,770,294
378,745,229
799,50,439
866,736,265
635,470,197
626,362,389
797,941,470
799,821,216
780,240,349
671,324,271
971,747,326
311,581,485
525,772,317
507,774,295
908,457,290
613,345,210
342,567,207
510,434,235
635,808,471
932,47,57
938,784,392
839,61,242
868,900,461
27,983,483
327,682,13
470,907,344
409,203,168
291,97,136
382,878,226
989,372,478
509,361,182
124,968,421
717,239,96
175,876,378
985,783,330
198,885,94
740,822,309
560,923,268
890,724,40
196,523,56
819,636,420
339,689,195
91,843,469
347,394,271
551,718,114
850,988,270
916,683,314
144,275,390
251,451,25
776,449,299
54,821,207
352,695,11
58,426,68
482,435,458
497,0,305
891,844,169
903,463,400
836,500,492
461,464,115
520,13,353
662,917,14
16,687,491
338,990,150
260,692,124
490,894,305
280,278,91
164,312,200
94,855,288
171,838,191
668,982,207
303,832,376
785,292,347
850,782,477
382,876,81
635,922,269
293,435,258
940,44,169
514,619,148
700,86,373
888,607,95
40,768,96
755,229,84
216,757,282
679,145,300
781,674,108
825,987,104
590,376,400
465,265,364
525,481,155
415,969,352
856,76,416
499,26,420
167,237,258
640,970,418
661,777,420
263,56,279
756,252,134
145,940,415
981,778,167
301,208,284
345,82,157
857,8,103
98,30,202
772,406,273
829,745,224
396,954,270
647,604,487
547,891,100
304,937,1
215,809,267
408,397,38
793,931,382
167,106,373
85,995,234
103,499,461
419,873,333
519,181,409
432,591,114
294,584,498
292,381,499
276,346,206
723,599,20
349,441,201
855,364,249
685,506,97
267,905,343
418,56,201
712,722,281
200,77,145
910,369,158
216,288,493
33,886,428
941,726,400
732,790,180
405,450,189
1,858,337
16,883,362
137,871,25
933,542,393
703,846,427
967,250,179
860,560,1
45,934,186
317,209,271
989,301,254
905,742,185
157,428,363
593,211,76
866,726,147
994,708,498
437,244,104
485,690,79
577,502,5
92,281,65
50,363,172
759,711,168
277,441,404
245,687,346
141,830,340
283,340,127
248,84,228
299,410,133
400,495,428
684,436,297
304,903,199
112,666,222
910,633,177
66,327,235
175,222,266
905,109,22
423,364,392
702,889,277
782,457,18
621,477,35
141,860,323
426,365,129
790,380,237
826,459,138
918,580,154
773,332,422
709,434,9
875,758,200
335,679,42
34,556,275
945,331,72
854,955,130
897,767,430
168,127,121
218,277,447
378,954,38
474,814,110
868,178,437
345,31,37
748,218,19
250,426,213
99,758,88
200,504,128
322,241,61
177,245,319
93,151,432
622,7,184
64,51,142
610,593,344
828,902,432
97,492,15
87,821,404
486,963,393
147,677,408
135,109,381
646,589,312
152,870,165
882,831,384
441,467,408
864,785,334
128,255,311
902,521,224
262,851,128
325,730,395
182,537,159
598,609,160
961,218,190
732,173,464
173,318,266
352,585,398
223,656,70
646,109,324
90,45,444
34,312,371
704,141,368
421,7,280
72,236,62
366,574,396
208,409,252
338,322,500
49,370,493
93,683,46
306,47,242
374,202,474
771,358,258
581,19,166
9,162,106
368,569,143
588,62,479
213,919,128
660,327,495
437,697,418
484,895,243
485,547,50
93,867,259
541,490,29
342,188,319
484,544,165
341,76,216
18,875,40
371,545,397
458,749,270
334,476,374
339,920,500
107,886,85
629,783,188
765,203,362
982,520,325
928,312,262
327,786,186
435,458,46
467,872,320
521,258,43
829,147,65
856,100,419
909,9,131
296,763,465
770,811,156
275,31,492
732,258,264
169,673,46
610,290,292
266,794,308
341,90,173
352,651,115
356,679,52
490,583,475
682,957,367
325,68,22
136,327,300
210,760,254
70,242,374
726,851,178
366,242,402
930,558,38
368,702,192
826,647,168
191,205,149
858,645,251
32,175,61
446,94,80
198,325,407
865,428,398
416,200,102
670,686,98
367,602,328
44,89,301
641,638,324
73,805,103
616,227,69
144,970,407
941,36,478
65,395,212
165,867,94
270,6,9
749,888,295
134,863,222
174,872,86
672,659,347
657,601,85
991,630,411
100,428,177
613,377,415
276,580,125
140,72,341
49,155,270
302,316,500
353,875,11
115,812,265
62,312,28
84,191,471
136,666,123
149,467,299
142,403,270
783,452,285
51,15,95
187,234,45
872,316,290
412,721,449
621,820,21
675,384,150
818,37,50
500,773,196
361,500,57
33,271,382
138,175,324
724,897,466
448,326,192
636,607,340
183,643,329
149,626,335
724,218,227
31,230,412
237,355,480
513,243,388
689,102,230
56,451,107
78,428,121
376,928,162
403,900,185
537,698,464
604,987,355
934,197,441
290,628,330
768,81,100
107,666,300
266,998,258
433,528,190
181,904,250
372,205,401
876,952,198
846,633,490
608,184,278
805,965,470
770,733,101
243,525,201
845,634,357
924,72,364
464,110,428
939,810,259
413,143,446
820,356,141
932,505,260
928,19,449
978,703,147
966,310,298
699,378,493
368,652,181
214,938,123
801,715,383
698,319,202
752,629,31
113,404,60
37,66,212
36,164,422
657,544,1
238,174,290
682,788,372
732,750,373
406,400,235
848,191,412
830,817,52
311,147,181
823,896,114
974,529,429
228,553,486
880,598,380
239,875,115
976,495,419
